potential,N,d,alpha_fit,beta_fit,lambda_alg,sigma_x,eta,ratio_h_mean,ratio_h_std,var_h_mean,d_max_h_sq_mean,n_close_estimate,scaling_exponent,n_qsd_samples
quadratic,50,2,0.1,0.1,1.0,0.1,0.1,0.08894573023385015,0.007592876432547623,2.415296909354982,27.34276697735347,1029.1649148607162,1.7731242839017738,21
quadratic,50,2,0.1,0.5,1.0,0.1,0.1,0.08881298471888258,0.010223579901689463,5.80475530170259,65.85243952135768,1029.6302102133984,1.773239827047325,21
quadratic,50,2,0.1,1.0,1.0,0.1,0.1,0.11363795895796669,0.018694065411393054,18.517375000885554,169.38229294532422,976.6925798604158,1.7597473061173599,21
quadratic,50,2,0.1,3.0,1.0,0.1,0.1,0.16352510830902864,0.010847322265288856,62.92518278530666,384.59260970657056,840.9620908126902,1.721499738955989,21
quadratic,50,2,0.1,10.0,1.0,0.1,0.1,0.13646217647306721,0.008243202484365218,55.731925334249226,407.76064537566606,908.3049028499064,1.7411912222584505,21
quadratic,50,2,0.5,0.1,1.0,0.1,0.1,0.08701428690182623,0.010352481287894946,0.8845371386657158,10.300036503924359,1035.307280627427,1.774645379512996,21
quadratic,50,2,0.5,0.5,1.0,0.1,0.1,0.07845458262729568,0.008723055692246589,1.2356347304192328,16.134854296355474,1058.545725340337,1.7803196142305866,21
quadratic,50,2,0.5,1.0,1.0,0.1,0.1,0.08433412314789386,0.009382714244528098,1.112664330573309,13.333947613264158,1041.3850491158244,1.7761416214732144,21
quadratic,50,2,0.5,3.0,1.0,0.1,0.1,0.08104784317243545,0.01061176816977034,3.4768239231336686,43.43958120387987,1049.9046130983918,1.7782243572454157,21
quadratic,50,2,0.5,10.0,1.0,0.1,0.1,0.10872410707869734,0.008011893561549731,12.160350328400021,112.19846070590376,979.0437352729173,1.7603619164283557,21
quadratic,50,2,1.0,0.1,1.0,0.1,0.1,0.08953886269108982,0.012648932208384664,0.7982891403537776,9.01358578829877,1028.5872462127952,1.7729807632698045,21
quadratic,50,2,1.0,0.5,1.0,0.1,0.1,0.08052913694654643,0.014583542485092237,0.9269525719185671,11.995097959300091,1056.8059604298858,1.779899142618629,21
quadratic,50,2,1.0,1.0,1.0,0.1,0.1,0.08870777986750981,0.009764544783735103,0.7843295803648376,8.912293244205928,1029.986598602232,1.7733282908733814,21
quadratic,50,2,1.0,3.0,1.0,0.1,0.1,0.08049913419507648,0.011426590795569479,0.8934520844902311,11.37199501304336,1053.5850166427556,1.7791188649874168,21
quadratic,50,2,1.0,10.0,1.0,0.1,0.1,0.08276082691310722,0.012386925632253671,2.434787781465621,30.19466100642141,1048.4090812488487,1.777859977758037,21
quadratic,50,2,3.0,0.1,1.0,0.1,0.1,0.08170736216026642,0.012339187612419845,0.7146515598564985,9.000681730494577,1051.5007137083746,1.7786126677273038,21
quadratic,50,2,3.0,0.5,1.0,0.1,0.1,0.08342295140746762,0.012475878011109305,0.7590502008707041,9.298830062412536,1045.9285749454345,1.7772544662071859,21
quadratic,50,2,3.0,1.0,1.0,0.1,0.1,0.08431619867519921,0.010647635980312736,0.8299983764244687,9.916060362627256,1040.7439179291764,1.7759841985814138,21
quadratic,50,2,3.0,3.0,1.0,0.1,0.1,0.08307899059762931,0.011937866536640045,0.7829486326802344,9.63197919723314,1046.7840729698776,1.7774634622348495,21
quadratic,50,2,3.0,10.0,1.0,0.1,0.1,0.07982158711648306,0.013077172271765062,0.8225286420257318,10.51744989573706,1054.4847728822745,1.779337071900002,21
quadratic,50,2,10.0,0.1,1.0,0.1,0.1,0.08267159336940082,0.015121298648351527,0.6574053506233862,8.135737487461586,1047.9883963695522,1.7777573861409575,21
quadratic,50,2,10.0,0.5,1.0,0.1,0.1,0.08961802200672156,0.008335058217767864,0.6545855169672341,7.332224173987372,1026.8120895397892,1.7725392241565934,21
quadratic,50,2,10.0,1.0,1.0,0.1,0.1,0.08336316273859613,0.009925186042982224,0.7307174276294452,8.891494921118698,1044.5459582128658,1.776916334742172,21
quadratic,50,2,10.0,3.0,1.0,0.1,0.1,0.08576498510055224,0.01422414334134331,0.7592925769055173,9.10591086386141,1041.5385434095017,1.7761792959727585,21
quadratic,50,2,10.0,10.0,1.0,0.1,0.1,0.08484667649549639,0.013869444645929058,0.7061501515230962,8.518780315719788,1042.7666504616773,1.7764805296756268,21
quadratic,100,2,0.1,0.1,1.0,0.1,0.1,0.07547976713460304,0.007091709939532953,3.6785819275038585,49.27310292020701,4253.430023787833,1.8143696461556496,21
quadratic,100,2,0.1,0.5,1.0,0.1,0.1,0.08206502190108125,0.010939564176128144,8.023423694428944,99.831216248442,4196.301117431878,1.8114333223330839,21
quadratic,100,2,0.1,1.0,1.0,0.1,0.1,0.08461298504718445,0.010106708047713462,18.603379263764335,223.6967952628137,4168.366303955859,1.8099829382547326,21
quadratic,100,2,0.1,3.0,1.0,0.1,0.1,0.12453093083029956,0.009136865723309549,52.425538111300696,422.0636363896213,3757.875979088023,1.7874712215056572,21
quadratic,100,2,0.1,10.0,1.0,0.1,0.1,0.1486015586675465,0.005929178920302841,78.52348643825168,528.113151915408,3513.1313970603524,1.7728471967222397,21
quadratic,100,2,0.5,0.1,1.0,0.1,0.1,0.0724082159102446,0.010139791755038492,0.9246406936574549,13.111396463674685,4294.780921148113,1.8164705075803562,21
quadratic,100,2,0.5,0.5,1.0,0.1,0.1,0.07427331027169568,0.00842040547792253,1.0056893388252883,13.717770512258745,4266.87114504025,1.8150547639134902,21
quadratic,100,2,0.5,1.0,1.0,0.1,0.1,0.06860598976118575,0.009158082620090243,1.4487761145546323,21.475501382402634,4325.3819369536195,1.8180122311359965,21
